Lugar y fecha,Area General de Origen,Area específica de origen,Consecutivo,Destinatario,Cargo,Cuerpo Oficio,Remitente,Cargo,Copias,Elaboración
"Huixquilucan de Degollado, Estado de México, a 28 de enero de 2021 ",Dirección General de Administración ,Subdirección de Sistemas,Oficio No: DGA/SS/01/01/2021 ,MTRO. HORACIO ALMANZA ZENDEJAS,DIRECTOR DE SERVICIOS ADMINISTRATIVOS DE LA SECRETARÍA DEL AYUNTAMIENTO ,"En atención a su oficio SHA/DSA/004/2020 de fecha 21 de enero del año en curso, mediante el cual solicita donde solicita la creación de un acceso para dar mantenimiento al sistema en cuestión le informo que este se creó en equipo con los siguientes datos: 

•	Acceso tipo SFTP(accesible desde filezilla/cliente) 
•	Puerto de acceso: 22 
•	IP publica de acceso: 189.195.154.44 
•	Permisos únicamente sobre el directorio /var/www/temp.codigo-base.com.mx 

 No omito mencionarle que el acceso de tipo SFTP solo debe de estar activo durante el mantenimiento del sistema y no de forma permanente por cuestiones de seguridad al y los servidores en el centro de datos del edificio Administrativo San Ramón, una vez concluidos los trabajos en mención en dicho equipo se debe de notificar a la Subdirección de Sistemas para denegar el acceso creado. 
Sin más por el momento, aprovecho la ocasión para enviarle un cordial saludo. ",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr* 
"Huixquilucan de Degollado, Estado de México, a 03 de febrero de 2021 ",Dirección General de Administración ,Subdirección de Sistemas,Oficio No: DGA/SS/012/02/2021 ,MTRA. MARÍA TERESA PADRÓN ALVAREZ ,ENCARGADA DEL DESPACHO DE LA SUBDIRECCIÓN DE PROCESO  ,"Por medio del presente me permito informar a Usted que a la fecha se ha recibido de manera oportuna y satisfactoria el servicio de Hospedaje de Páginas Web, para el periodo que comprende del 01 al 31 de enero del año en curso, correspondiente al contrato número DJ/SJC/CT-SERV-78-2019, de igual forma adjunto al presente, factura original con número de folio 0094. 
Sin más por el momento, aprovecho la ocasión para enviarle un cordial saludo.",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr* 
"Huixquilucan de Degollado, Estado de México, a 03 de febrero de 2021 ",Dirección General de Administración ,Subdirección de Sistemas,Oficio No: DGA/SS/013/02/2020 ,MTRA. MARÍA TERESA PADRÓN ALVAREZ ,ENCARGADA DEL DESPACHO DE LA SUBDIRECCIÓN DE PROCESO,"Por medio del presente me permito informar a Usted que a la fecha se ha recibido de manera oportuna y satisfactoria el servicio de Correo Electrónico, para el periodo que comprende del 01 al 31 de enero del año en curso, correspondiente al contrato número AHU/AD/901/2019, de igual forma adjunto al presente, factura original con número de folio 0095. 
Sin más por el momento, aprovecho la ocasión para enviarle un cordial saludo. ",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr* 
"Huixquilucan de Degollado, Estado de México, a 05 de febrero de 2021 ",Dirección General de Administración ,Subdirección de Sistemas ,Oficio No: DGA/SS/014/02/2021,MTRA. MARÍA TERESA PADRÓN ALVAREZ ,"ENCARGADA DEL DESPACHO DE LA SUBDIRECCIÓN DE PROCESO  
ADMINISTRATIVO INTERNO ","Por medio del presente me permito informar a Usted que a la fecha se ha recibido de manera oportuna y satisfactoria el servicio de Copias Graficas, S.A. de C.V, para el periodo que comprende del 01 al 31 de enero del año en curso, correspondiente al contrato número DJ/SJC/CT-SERV.76-2019, de igual forma adjunto al presente, factura original con número de folio 7365. 
Sin más por el momento, aprovecho la ocasión para enviarle un cordial saludo. ",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr* 
"Huixquilucan de Degollado, Estado de México, a 08 de febrero de 2021 ",Dirección General de Administración ,Subdirección de Sistemas ,Oficio No: DGA/SS/015/02/2021 ,MTRA. VIANNEY JASSO PADILLA,"SUBIDRECTORA DE RECURSOS 
MATERIALES Y ADQUISICIONES  ","Por medio del presente, me permito solicitar a Usted, gire sus apreciables instrucciones a quien corresponda a efecto de realizar la adquisición de 3 Cámaras Térmicas. 
Anexo al presente las 7 requisiciones en original correspondientes a dicha compra. 
Sin más por el momento, aprovecho la ocasión para enviarle un cordial saludo. ",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr* 
"Huixquilucan de Degollado, Estado de México, a 08 de febrero de 2021 ",Dirección General de Administración ,Subdirección de Sistemas ,Oficio No: DGA/SS/016/02/2021 ,MTRA. VIANNEY JASSO PADILLA ,"SUBIDRECTORA DE RECURSOS 
MATERIALES Y ADQUISICIONES","Por medio del presente, me permito solicitar a Usted, gire sus apreciables instrucciones a quien corresponda a efecto de realizar la contratación del servicio de correo electrónico y herramientas de colaboración, para el municipio de Huixquilucan, cabe mencionar que se tiene un presupuesto de $216,204.80 M/N. 
Anexo al presente especificaciones técnicas y las 7 requisiciones en original correspondientes a dicho servicio. 
Sin más por el momento, aprovecho la ocasión para enviarle un cordial saludo. ",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr* 
"Huixquilucan de Degollado, Estado de México, a 10 de febrero de 2021 ",Dirección General de Administración,Subdirección de Sistemas ,Oficio No: DGA/SS/017/02/2021 ,C.P. AGUSTÍN OLIVARES BALDERAS ,TESORERO MUNICIPAL,"En atención a su oficio TM/CA/006/2021 de fecha 11 de enero del año en curso, mediante el cual solicita se lleve a cabo la ampliación de banda ancha a 150 Mbps en el periodo de enero a marzo 2021, al respecto me permito informar a Usted, que los trámites administrativos se deberán realizar ante la Subdirección de Recursos Materiales. Sin más por el momento, aprovecho la ocasión para enviarle un cordial saludo. ",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr* 
"Huixquilucan de Degollado, Estado de México, a 10 de febrero de 2021",Dirección General de Administración ,Subdirección de Sistemas ,Oficio No: DGA/SS/018/02/2021,LIC. JUAN EDUARDO BARBOSA MAYA ,"COORDINADOR ADMINISTRATIVO DE LA  
SECRETARÍA DEL AYUNTAMIENTO ","En atención a su oficio SHA/CA/003/2021 y en seguimiento al oficio SHA/CA/014/2021, mediante el cual solicita se proporcione un acceso VPN a la red Interna del H. Ayuntamiento de Huixquilucan, desde cualquier equipo que no esté dentro de las oficinas administrativas, al respecto me permito informar a Usted, que la Servidora Pública Miriam Jenny Montoya Huerta, con número de cobro 1208, Adscrita a la Coordinación a su digno cargo, quedará como responsable absoluta de la contraseña (misma que se anexa en sobre cerrado), así mismo se responsabiliza de cualquier situación que se genere por el mal uso de la cuenta. 
Sin más por el momento, aprovecho la ocasión para enviarle un cordial saludo. ",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr* 
"Huixquilucan de Degollado, Estado de México, a 10 de febrero de 2021 ",Dirección General de Administración ,Subdirección de Sistemas ,Oficio No: DGA/SS/019/02/2021 ,LIC. JACOBO MAC-SWINEY TORRES ,JEFE DE LA OFICINA DE PRESIDENCIA ,"En atención a su oficio OP/015/2021 de fecha 19 de enero del año en curso, mediante el cual solicita se proporcione un acceso VPN a la red Interna del H. Ayuntamiento de Huixquilucan, desde cualquier equipo que no esté dentro de las oficinas administrativas, al respecto me permito informar a Usted, que la Servidora Pública María Adriana Sánchez Rodríguez, con número de cobro 1574, quedará como responsable absoluta de la contraseña (misma que se anexa en sobre cerrado), así mismo se responsabiliza de cualquier situación que se genere por el mal uso de la cuenta. 

 

Sin más por el momento, aprovecho la ocasión para enviarle un cordial saludo. ",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr* 
"Huixquilucan de Degollado, Estado de México, a 10 de febrero de 2021 ",Dirección General de Administración ,Subdirección de Sistemas ,Oficio No: DGA/SS/020/02/2021,DRA. MAURY PALMIRA RAMÍREZ MONTES DE OCA ,DIRECTORA GENERAL DE MENSAJE E IMAGEN INSTITUCIONAL,"En atención a su oficio DGMII/25/2021, de fecha 29 de enero del año en curso, mediante el cual solicita la restauración de la contraseña del correo electrónico institucional a su nombre, al respecto me permito remitir a Usted, en sobre cerrado el correo y la contraseña solicitada. 
Sin más por el momento, aprovecho la ocasión para enviarle un cordial saludo",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr* 
"Huixquilucan de Degollado, Estado de México, a 10 de febrero de 2021 ",Dirección General de Administración ,Subdirección de Sistemas ,Oficio No: DGA/SS/021/02/2021 ,LIC. KRISTIAN FERNÁNDEZ GALVÁN ,"DIRECTOR GENERAL DE DESARROLLO 

ECONÓMICO Y EMPRESARIAL ","En atención a su oficio DGDEyE/2021/005, de fecha 04 de febrero del año en curso, mediante el cual solicita realizar nueva contraseña del correo electrónico institucional a su nombre, al respecto me permito remitir a Usted, en sobre cerrado el correo y la contraseña solicitada. 
Sin más por el momento, aprovecho la ocasión para enviarle un cordial saludo. ",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr* 
"Huixquilucan de Degollado, Estado de México, a 12 de febrero de 2021 ",Dirección General de Administración ,Subdirección de Sistemas ,Oficio No: DGA/SS/022/02/2021 ,MTRA. VIANNEY JASSO PADILLA ,"SUBIDRECTORA DE RECURSOS 

MATERIALES Y ADQUISICIONES ","Por medio del presente y a fin de dar continuidad al Servicio de Correo Electrónico con el que cuentan actualmente los servidores públicos del Ayuntamiento de Huixquilucan, le informo que es de suma importancia el seguir contando con este servicio con las características actuales y conservando las funcionalidades que nos brinda el proveedor actual por los siguientes motivos: 
1.	Migrar hacia otra plataforma tiene un tiempo estimado de tres meses ya que se tiene que verificar que en el cambio se mantenga la integridad de la información, y esto se realiza por cada usuario del servicio. 
2.	Se evitan los costos por migración. 
3.	El análisis costo-beneficio realizado por esta Subdirección refleja que el servicio actual es la mejor opción dado que las funcionalidades que ofrece son de suma utilidad para los usuarios (servidores públicos) de este servicio y por el costo que éste le representa al Ayuntamiento. 
Sin otro particular que exponer, le envío un cordial saludo ",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr* 
"Huixquilucan de Degollado, Estado de México, a 18 de febrero de 2021 ",Dirección General de Administración ,Subdirección de Sistemas ,Oficio No: DGA/SS/023/02/2021,LIC. KRISTIAN FERNÁNDEZ GALVÁN ,"DIRECTOR GENERAL DE DESARROLLO 

ECONÓMICO Y EMPRESARIAL ","En atención a su oficio DGDEyE/2021/007 de fecha 09 de febrero del año en curso, mediante el cual solicita sea cambiada la extensión 5201 de la línea telefónica del área de barra o ventanilla a un cubículo de la zona Administrativa de la Dirección, con la finalidad de cumplir con las medidas sanitarias por COVID-19 hasta que se reestablezcan las labores normalmente, al respecto me permito informar a Usted, que su solicitud ha sido atendida en tiempo y forma. 

 

Sin más por el momento, aprovecho la ocasión para enviarle un cordial saludo. ",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr* 
"Huixquilucan de Degollado, Estado de México, a 18 de febrero de 2021 ",Dirección General de Administración ,Subdirección de Sistemas ,Oficio No: DGA/SS/025/02/2020,LIC. REINA JAZMIN RINCÓN MUCIÑO ,SUBDIRECTORA DE PROCESO ADMINISTRATIVO INTERNO ,"Por medio del presente me permito informar a Usted que a la fecha se ha recibido de manera oportuna y satisfactoria el Servicio de Internet Dedicado Premium 50Mbps, en el Edificio Excinemas del 01 al 31 de enero del año en curso, de igual forma adjunto a la presente factura original. Sin más por el momento, aprovecho la ocasión para enviarle un cordial saludo. ",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr* 
"Huixquilucan de Degollado, Estado de México, a 18 de febrero de 2021 ",Dirección General de Administración ,Subdirección de Sistemas ,Oficio No: DGA/SS/026/02/2020,LIC. REINA JAZMIN RINCÓN MUCIÑO ,SUBDIRECTORA DE PROCESO ADMINISTRATIVO INTERNO ,"Por medio del presente me permito informar a Usted que a la fecha se ha recibido de manera oportuna y satisfactoria el Servicio de Internet Dedicado Premium 50 Mbps en Palacio Municipal del 01 al 31 de enero del año en curso, de igual forma adjunto a la presente factura original. 

Sin más por el momento, aprovecho la ocasión para enviarle un cordial saludo. ",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr* 
"Huixquilucan de Degollado, Estado de México, a 18 de febrero de 2020",Dirección General de Administración ,Subdirección de Sistemas ,Oficio No: DGA/SS/027/02/2020 ,LIC. REINA JAZMIN RINCÓN MUCIÑO ,SUBDIRECTORA DE PROCESO ADMINISTRATIVO INTERNO ,"Por medio del presente me permito informar a Usted que a la fecha se ha recibido de manera oportuna y satisfactoria el Servicio de Internet Dedicado Premium 100Mbps en el Edificio Administrativo Huixquilucan del 01 al 31 de enero del año en curso, de igual forma adjunto a la presente factura original. 
Sin más por el momento, aprovecho la ocasión para enviarle un cordial saludo. ",Mtro. Raúl Quintanar Casillas ,Subdirector de Sistemas,c.c.p. Expediente/ Minutario ,TGS/RQC/*cmr* 
